pid	n_ppi	cell_names	n_annotations	specificity
23764002	82	266-6,MCF-10A,A-431,HEK293T,MDA-MB-468,HeLa,NCI-H226,BT-549,HCC1954,DU145,226H,MDA-MB-231	12	10+
29563501	82	HEK293T,BL-41,HeLa	3	2-4
26990986	80	HEK293T,HEK293-FT,MM1.S,Hep 3B2.1-7	4	2-4
29121065	80	HEK,HEK293T,MDCK,MCF-7,HEK293	5	5-9
24657165	79	HEK293T,U2OS,HeLa,HeLa S3	4	2-4
25662211	79	T-REx-293,HEK293T,HeLa,HEK293	4	2-4
21858095	77	HEK293T,C212,HeLa	3	2-4
25720964	77	J3T,HEK293T,SK-MEL-5,SK-MEL-239,SK-MEL-28,A-375,SK-MEL-24,MEF (C57BL/6),HCT 116,HEK293	10	10+
23503679	76	HEK293T	1	1
25593058	71	HeLa,HEK293	2	2-4
23503661	70	A-431,HEK293T,HeLa,MEF (C57BL/6),HCT 116,HEK293,SH-SY5Y	7	5-9
21726808	68	HEK293T,Hep-G2,HEK293	3	2-4
21525244	67	HEK293T,HeLa,NRK	3	2-4
18922472	66	HeLa,HEK293	2	2-4
22118625	66	2H9,PAE-iPS-4,MCF-7,SW480,MDA-MB-231,HT29-19A,HT-29	7	5-9
20869947	65	MRC-5,U2OS,HeLa,COS-7,HeLa S3	5	5-9
21875946	65	HEK293T,U2OS,HeLa	3	2-4
24882805	65	HEK293T,HeLa,C2168,HeLa S3	4	2-4
29795372	65	SW620,HeLa,JIMT-1,HCT 116,NCC16,HT-29,HEK293,A-549,MDA-MB-231	9	5-9
28276505	64	HEK293T,HEK293	2	2-4
24606901	63	HeLa,HEK293	2	2-4
26511642	63	SGC-7901,HEK293T,HEK293-FT,MGC-803	4	2-4
26824392	63	DU #2,BL-21,MEF (C57BL/6),C2016,HEK293,HEK 293 tTS	6	5-9
27505670	62	Sf9,OCI-Ly7,HeLa,HEK293,OCI-Ly1	5	5-9
29103612	61	HEK293T/17,HEK293T,A4xC,HEK293-FT,REX,HEK,T-REx-293,HEK293	8	5-9
28199306	59	HEK293T,HeLa,HEK293-EBNA,HEK293	4	2-4
20946988	58	MEF (C57BL/6),J1	2	2-4
22863774	58	K-562,HEK293T,HEK293	3	2-4
23221635	58	HEK293T,7E12H12,HeLa	3	2-4
23254330	58	Sf9,HEK293-A,HEK293T,BL-21	4	2-4
27153538	58	K-562,HEK293T,U2OS,HeLa,222,526-mel,HEK293	7	5-9
20601937	57	HEK293T,Sf9	2	2-4
21343306	57	HEK293S,CHO-7,HEK293,GM00589,CHO-K1	5	5-9
23178491	56	HEK293T,HeLa	2	2-4
22745667	55	HEK293T,Jurkat,TG1	3	2-4
22266860	53	BL-21,C6-3,RG2,MDA-MB-231,HeLa	5	5-9
26906416	52	BL-21,U2OS,HeLa,HEK293	4	2-4
19759913	50	CHO,HeLa.P3,HeLa,HEK293	4	2-4
23870121	50	Sf9,HeLa,MEF (C57BL/6),HCT 116,HTC	5	5-9
18850735	49	HB4a,293GP,CSN,HEK293	4	2-4
19807924	49	HEK293T,TG1,COS-7,B39.1	4	2-4
23272104	49	HeLa,Neuro-2a,R2C	3	2-4
26058080	49	T-REx-293,K-562,HL-60,COS-7	4	2-4
19019082	48	HeLa	1	1
22582013	47	HEK,HEK293T,U2OS,HeLa	4	2-4
23201271	47	Sf9,HeLa,MEF (C57BL/6),NIH 3T3	4	2-4
27034005	47	MCF-10A,HEK293T,Plat-E,MEF (C57BL/6),PC12,HEK293,MCF-10AT,RG-145	8	5-9
27193682	46	HeLa	1	1
29111974	46	Sf21,rHypoE-21,BL-21,HeLa,HEK293	5	5-9
30024968	46	HEK293T,AsPC-1,PC2,Huh-7.5	4	2-4
19338310	45	HEK293T	1	1
20347428	45	CHO,HeLa,HEK293-EBNA,HEK293	4	2-4
20603019	45	K-562	1	1
27512140	44	BJ1-hTERT,HEK293T,HeLa	3	2-4
23088713	43	MCF-10A,HEK293T	2	2-4
26471122	43	HEK293T,HEK293	2	2-4
27353360	43	NCI-H1299,BL-21,LNCaP,MCF-7,HT-29,HEK293	6	5-9
19287380	42	HEK293T,HeLa	2	2-4
23658844	42	HEK293T,HEK293	2	2-4
20661446	41	HEK,SK-N-MC,MEF (C57BL/6),LNCaP,HN-10,CV-1,HEK293,NCI-H711	8	5-9
21575865	41	VCaP,LNCaP,PC-3,MDA-MB-231,CHO-K1/hERG,HCC1937,ARCaP,DU145,HEK293	9	5-9
25011449	41	K-562,M7 [Human B-cell 12IHW],HEK293	3	2-4
22904065	40	Raji,HeLa,As4.1	3	2-4
23825951	40	BL-21,MDCK,HeLa,A-549	4	2-4
19410543	39	HEK293T,HeLa,HCT 116	3	2-4
28805822	39	U-87MG ATCC,HEK293T,4C2.4A7.5H11,LNCaP,EC9706,22Rv1,HeLa,NCI-H2171	8	5-9
22087225	38	HEK293T,BL-21,MDCK,MC-38	4	2-4
22912744	38	K-562,HEK293T,Sf21,HeLa K11,HeLa,COS-7,HEK293,HeLa S3	8	5-9
23473034	38	HEK293T,HeLa,Jurkat	3	2-4
25187624	38	HMN-1,HEK293T,THP-1,HeLa,D2SC/1	5	5-9
25303530	38	MCF-7	1	1
26949039	38	GM03189,WILL-2,AND-1,IF6,MDCK,HCT 116,HEK293,MDA-MB-231	8	5-9
28199315	38	HEK293T,HeLa,MEF (C57BL/6),HEK293-EBNA,As4.1,HEK293	6	5-9
29715546	38	NSC-34,HEK293T,HEK293	3	2-4
21151833	37	MCF-7,Schneider 1	2	2-4
22974441	37	PC12	1	1
26091241	37	Flp-In-293,MEF (C57BL/6),HEK293	3	2-4
26593974	37	K-562,HEK293T,NIH 3T3,HEK,BL-6,SK-MEL-108	6	5-9
27649529	37	K-562	1	1
28215707	37	HEK293T,H4S	2	2-4
20864041	36	HCC1806,BL-21,SK-BR-3,U2OS,HeLa,HCC1143,HEK293,ME-180	8	5-9
23975195	36	K-562,HL-60,U-937,U2OS,GM07147,HEK293	6	5-9
24147044	36	T-47D,BJ1-hTERT,K-562,SJSA-1,NCI-H1299,HeLa,MCF-7,NIH 3T3	8	5-9
24885147	36	MRC-5,DD1706,H2M,BL-21,U2OS,HeLa,SH-SY5Y	7	5-9
25723849	36	BL-21	1	1
28218735	36	HEK293T,BGC-1,MEF (C57BL/6),BGC-823	4	2-4
29104064	36	HEK293T,hTERT-RPE1	2	2-4
29531219	36	T-REx-293,U2OS,PK-SV40	3	2-4
9472029	35	HeLa	1	1
21360678	35	HEK293T,T-REx-293,HEK293	3	2-4
23160376	35	HeLa	1	1
26166704	35	HEK293T,MCF-7	2	2-4
21364888	34	M297,HEK293,Huh-7	3	2-4
22980980	34	HEK293T,NIH 3T3,Schneider 2	3	2-4
24239288	34	CHO-EM9,HEK293T,U2OS,HeLa	4	2-4
24515614	34	BL-21,HEK293-F,HeLa,HEK293	4	2-4
27142060	34	HMN-1,K-562,HEK293T,HEK293,D58	5	5-9
27812135	34	HEK293T,HEK293	2	2-4
28539385	34	HEK293T,SK-OV-3,HeLa	3	2-4
16729043	33	Hs 912.T,HeLa	2	2-4
23751493	33	XP4PA(SV),U2OS,HeLa,MEF (C57BL/6)	4	2-4
26553929	33	SK-CO-1,BL-21,MDCK,HEK293	4	2-4
19608861	32	Jurkat,MV4-11,A-549	3	2-4
22439931	32	HEK293,DTC1	2	2-4
22500027	32	HEK293T,hTERT-RPE1	2	2-4
23750785	32	HMN-1,JC	2	2-4
23995757	32	ACC-LC-173,HEK293T,ES-E14TG2a,ES-E14,Sf9,HeLa,HEK293	7	5-9
26083744	32	BTI-Tn-5B1-4	1	1
26297806	32	U2OS,HeLa,MEF (C57BL/6)	3	2-4
26340423	32	HeLa	1	1
26735018	32	NCI-H1299,HEK293T,IMR-32,SK-N-AS,U-251MG,GSC,SK-N-SH,Hep 3B2.1-7	8	5-9
28190768	32	CCC-HPF-1,U2OS,GM00519	3	2-4
16582099	31	S16,BL-21,HEK293	3	2-4
20098423	31	HeLa,HCT 116,HEK293-FT	3	2-4
21255825	31	HEK293T,CH12F3,F12-3,HEK293	4	2-4
26678539	31	HEK293T,Schneider 1,HeLa	3	2-4
